name,title,company,seniority_tier,function_category,role,conference_name,year,session_title,linkedin_url,total_appearances
Andrew Amann,,NineTwoThree AI Studio,unknown,other,speaker,INBOUND,2026,24/7 HubSpot: Deploying Personal AI Agents to Work for You,https://www.linkedin.com/in/andrewamann,4
Andrew Mallen,,HubSpot,unknown,other,speaker,INBOUND,2026,AI-Powered Email: From Idea to Inbox in Minutes,https://www.linkedin.com/in/andrew-mallen-3088ba8,4
Angie O'Dowd,,HubSpot,unknown,other,speaker,INBOUND,2026,,,4
Angélica Medina,,In lak’ech Dance Academy,unknown,other,speaker,INBOUND,2026,Meetup: The Spot Bachata Class,,4
Ankur Gupta,,HubSpot,unknown,other,speaker,INBOUND,2026,ENCORE: What's New for Marketers With HubSpot,https://www.linkedin.com/in/ankurguptami,4
Anne Morriss,,The Leadership Consortium,unknown,other,speaker,INBOUND,2026,"Hard Things, Strong People: Glennon Doyle on Resilience",https://www.linkedin.com/in/anne-morriss,4
Anthony Alves,,LeanData,unknown,other,speaker,INBOUND,2026,HubSpot for Marketing. Different CRM. 1 Seamless GTM Motion.,https://www.linkedin.com/in/anthony-alves-vi,4
Aravind Srinivas,,Perplexity,unknown,other,speaker,INBOUND,2026,Curiosity at Work,https://www.linkedin.com/in/aravind-srinivas-16051987,4
Arjun Mahadevan,,doola,unknown,other,speaker,INBOUND,2026,Unlocking Data Magic for Sales and Marketing,https://www.linkedin.com/in/mahadevanarjun,4
Ashley Faus,,Atlassian,unknown,other,speaker,INBOUND,2026,DEBATE: Why Founder-Led Brands Falter,https://www.linkedin.com/in/ashleyfaus,4
Atul Raghunathan,,Hyperbound,unknown,other,speaker,INBOUND,2026,Tools for Growth: AI Sales Roleplays for Sales Enablement,https://www.linkedin.com/in/atul-raghunathan,4
Ben Berkley,,HubSpot,unknown,other,speaker,INBOUND,2026,The Next Big AIdea,https://www.linkedin.com/in/ben-berkley-99a1191b,4
Ben Conte,,HubSpot,unknown,other,speaker,INBOUND,2026,How to Run Modern Competitive Marketing,https://www.linkedin.com/in/ben-conte,4
Beth Dunn,,Agent.ai,unknown,other,speaker,INBOUND,2026,The Creative's Guide to AI: Thriving in the Age of Agents,https://www.linkedin.com/in/bethdunn,4
Betty Mok,,Consensus,unknown,other,speaker,INBOUND,2026,Fuel Pipeline and Close Deals in the Anti-Social Buyer Era ,https://www.linkedin.com/in/bettymok,4
Bhargava Gade,,HubSpot,unknown,other,speaker,INBOUND,2026,The AI Concierge: Transforming Your Front Office With Customer Agent,https://www.linkedin.com/in/bhargava-gade-12534163/,4
Bianca Recto,,HubSpot,unknown,other,speaker,INBOUND,2026,What's New for Service With HubSpot,https://www.linkedin.com/in/bianca-recto,4
Bill Henry,,NetLine,unknown,other,speaker,INBOUND,2026,"Tools for Growth: Capture, Qualify, and Convert With NetLine",https://www.linkedin.com/in/wlhenry1183,4
Bill Stathopoulos,,SalesCaptain,unknown,other,speaker,INBOUND,2026,Building the GTM Motion of 2026 With Clay and AI Agents,https://www.linkedin.com/in/billstath,4
Bowie Sievers,,HubSpot,unknown,other,speaker,INBOUND,2026,What's New for Marketers With HubSpot,https://www.linkedin.com/in/bowie-sievers-89917340,4
Brandon Greer,,HubSpot,unknown,other,speaker,INBOUND,2026,How to Get Your Business Venture Capital Ready,https://www.linkedin.com/in/brandon-greer,4
Bree Hall,,HubSpot,unknown,other,speaker,INBOUND,2026,,,4
Brenda Lando Fridman,,HubSpot,unknown,other,speaker,INBOUND,2026,"HubSpot Sales, Unfiltered: Real Lessons From SMB Growth Machine",https://www.linkedin.com/in/brendalandofridman,4
Brian Gorbett,,HubSpot,unknown,other,speaker,INBOUND,2026,,https://www.linkedin.com/in/gorbett,4
Brian Halligan,,HubSpot,unknown,other,speaker,INBOUND,2026,HubSpot Hot Ones,https://www.linkedin.com/in/brianhalligan,4
Brianna Doe,,Verbatim,unknown,other,speaker,INBOUND,2026,Influencers Aren’t Billboards. Stop Treating Them Like One,,4
Brooke Bond,,HubSpot,unknown,other,speaker,INBOUND,2026,,https://www.linkedin.com/in/brooke-fisher-bond,4
Bruno Amico,,Tropical Hub,unknown,other,speaker,INBOUND,2026,Meetup: Networking for Spanish and Portuguese Speakers,https://br.linkedin.com/in/bruamico,4
Bryan Brown,,GTM Partners,unknown,other,speaker,INBOUND,2026,ENCORE: GTM Growth Decoded With Sangram Vajre,https://www.linkedin.com/in/getvision,4
Bryetta Calloway,,Stories Seen,unknown,other,speaker,INBOUND,2026,The Science of Visibility: Storytelling That Builds Trust,,4
Caden Broussard,,Cello,unknown,other,speaker,INBOUND,2026,The Next Big AIdea,https://www.linkedin.com/in/caden-broussard-90985a90,4
Caleb Edwards,,GreenHouse Agency,unknown,other,speaker,INBOUND,2026,Meetup: Financial Services: Building Client Trust for Life,https://www.linkedin.com/in/calebedwards,4
Calum Kilgour,,SlingShot Edge,unknown,other,speaker,INBOUND,2026,,https://uk.linkedin.com/in/calumkilgour,4
Cara Jankowski,,HubSpot,unknown,other,speaker,INBOUND,2026,Activating Your Customer Data With the Data Studio,https://www.linkedin.com/in/carajankowski,4
Cas Feder,,HubSpot,unknown,other,speaker,INBOUND,2026,From Beta to Breakthrough: Making Early Adoption Your DNA,,4
Cathy McPhillips,,SmarterX,unknown,other,speaker,INBOUND,2026,State of HubSpot: How the Best Do It Different,https://www.linkedin.com/in/cathymcphillips,4
Chad Holdorf,,Demandbase,unknown,other,speaker,INBOUND,2026,Tools for Growth: Redefining Modern Prospecting,https://www.linkedin.com/in/chadholdorf,4
Chad Reid,,Jotform,unknown,other,speaker,INBOUND,2026,Tools for Growth: 4 Ways AI and Smart Forms Drive Revenue,,4
